building_rating_id,building_name,address,city,state,zipcode
2.0,parkview apartments,2300 Apache,Greensboro,NC,27401
3.0,parkview apartments,3356 Byron Center Ave SW,Wyoming,MI,49519
3.0,parkview apartments,2201 Delaware St,Huntington Beach,CA,92648
2.0,park view apartments,10 Moore St,Mauldin,SC,29662
4.0,riverview apartments,8149 St. Bernard Hwy,Chalmette,LA,70043
2.0,parkview apartments,116 Devon Ave,Parchment,MI,49004
2.0,riverview apartments,1320 E North St,Waukesha,WI,53188
2.0,riverview apartments,213 W Chemung Pl,Elmira,NY,14904
2.0,parkside apartments,2513 Dogwood Ave,Gillette,WY,82718
3.0,parkside apartments,7780 23rd Ave,Denver,CO,80238
4.0,parkview,4523 Briggs Dr SE,Olympia,WA,98501
3.0,parkview apartments,3010 22nd Ave,Forest Grove,OR,97116
2.0,parkside apartments,901 E Maguire Rd,Noble,OK,73068
2.0,parkview apartments,502 South St,Bristol,CT,06010
3.0,parkview apartments,1640 NE Irving St,Portland,OR,97232
4.0,parkview,871 Elton Ave,Bronx,NY,10451
2.0,riverview apartments,400 E Thielke Ave,Appleton,MN,56208
2.0,riverview apartments,605 10th St,Windom,MN,56101
3.0,parkview apartments,326 E Division St,Boyne City,MI,49712
3.0,parkview apartments,1549 Shepherd Dr,De Soto,MO,63020
3.0,parkview apartments,613 N Front St,Niles,MI,49120
2.0,parkside apartments,2520 Parkview Dr,Granite City,IL,62040
2.0,riverview apartments,5212 Cortland Ave,Ashtabula,OH,44004
3.0,parkview apartments,520 SW 5th St,Miami,FL,33130
3.0,parkview apartments,270 Spring St,Naugatuck,CT,06770
2.0,riverview apartments,522 C St,Eden,NC,27288
2.0,parkside apartments,130 N Parkside Ave,Chicago,IL,60644
2.0,riverview apartments,149 Olive St,Paso Robles,CA,93446
3.0,parkside apartments,442 N Kellogg St,Lake Elsinore,CA,92530
3.0,parkview,2249 Northwest Loop,Stephenville,TX,76401
2.0,parkside apartments,13883 Middle Gibraltar Rd,Gibraltar,MI,48173
2.0,parkside apartments,210 Westinghouse Ave,Wilmerding,PA,15148
2.0,parkside apartments,51 Park St,Meriden,CT,06450
2.0,parkview apartments,5166 N Lovers Lane Rd,Milwaukee,WI,53225
2.0,riverview apartments,500 Madison Ave,Elmira,NY,14901
2.0,parkview,350 Commerce Centre Dr,Huntersville,NC,28078
2.0,parkside apartments,1109 N Crawford St,Dallas,TX,75203
3.0,park view apartments,2546 14th St,Astoria,NY,11102
3.0,park view apartments,204 W Moore Ave,Devine,TX,78016
2.0,parkside apartments,211 E Mizpah Cir,Tonopah,NV,89049
2.0,parkside apartments,106 Magnolia St,Mansfield,TX,76063
3.0,parkside apartments,5670 W Lake St,Chicago,IL,60644
3.0,parkview,22001 Parkview Dr,Taylor,MI,48180
2.0,parkside apartments,5615 Phinney Ave N,Seattle,WA,98103
